chr1	633965	634115	+	28466.2	0	1084.5	9.19E+01	0.00E+00	0.14
chr1	629854	630004	+	13836.6	0	758.5	2.60E+01	0.00E+00	0.2
chr17	22524374	22524524	+	3087.2	0	681.5	7.77E+01	0.00E+00	0.22
chr17	22521324	22521474	+	2474.1	0	425.5	5.06E+01	0.00E+00	0.36
chr3	93470604	93470754	+	1192.4	0	584.5	6.09E+01	0.00E+00	0.26
chr12	41363601	41363751	+	264.2	0	198.5	1.81E+03	0.00E+00	0.74
chr5	134925379	134925529	+	262.5	0	166	1.16E+01	0.00E+00	0.91
chr17	53106245	53106395	+	230.2	0	201	2.45E+02	0.00E+00	0.73
chr5	134926770	134926920	+	214.6	0	221	9.21E+00	0.00E+00	0.66
chr11	10509356	10509506	+	214.5	0	178	5.28E+01	0.00E+00	0.95
chr5	134927248	134927398	+	202	0	158	8.59E+00	0.00E+00	0.91
chr7	158151374	158151524	+	142	0	232	2.25E+02	0.00E+00	0.59
chr5	100053813	100053963	+	140.6	0	66.5	4.22E+01	0.00E+00	2
chr14	32484328	32484478	+	136.6	0	110	8.53E+01	0.00E+00	1.25
chr15	97960355	97960505	+	118	0	193	4.15E+01	0.00E+00	0.66
chr10	110919283	110919433	+	114.1	0	205.5	3.33E+01	0.00E+00	0.61
chr10	128047450	128047600	+	113.1	0	183	1.09E+02	0.00E+00	0.68
chr3	131361680	131361830	+	112.7	0	173.5	5.48E+01	0.00E+00	0.72
chr5	151771647	151771797	+	112.7	0	181	2.74E+01	0.00E+00	0.68
chr21	6370016	6370166	+	109.1	0	209	7.74E+00	4.56E-203	0.59
chr11	6234868	6235018	+	107.6	0	202	2.92E+01	0.00E+00	0.62
chr4	82284990	82285140	+	104.8	0	161	7.64E+01	0.00E+00	0.75
chr7	127651946	127652096	+	104.5	0	164	5.25E+01	0.00E+00	0.73
chr9	42900296	42900446	+	100.8	0	107	1.25E+03	0.00E+00	1.11
chr1	3857283	3857433	+	100.5	0	160.5	5.54E+01	0.00E+00	0.74
chr3	131381648	131381798	+	100.4	0	172	4.94E+01	0.00E+00	0.7
chr5	157142833	157142983	+	96.5	0	167	9.28E+01	0.00E+00	0.71
chr16	81096458	81096608	+	96.3	0	173	6.31E+01	0.00E+00	0.68
chr5	168579690	168579840	+	96.2	0	173.5	4.02E+01	0.00E+00	0.68
chr8	73008688	73008838	+	94.7	0	162	5.92E+01	0.00E+00	0.72
chr21	6372038	6372188	+	94.5	0	191	6.60E+00	1.60E-155	0.61
chr1	5992435	5992585	+	93.1	0	171.5	3.97E+01	0.00E+00	0.67
chr10	123154138	123154288	+	92.5	0	165.5	3.27E+01	0.00E+00	0.7
chr2	30146550	30146700	+	92	0	176.5	4.56E+01	0.00E+00	0.65
chr8	109334164	109334314	+	91.6	0	168.5	3.49E+01	0.00E+00	0.68
chr16	5098096	5098246	+	91.2	0	176	4.45E+01	0.00E+00	0.66
chr12	119667754	119667904	+	88.6	0	130	5.90E+01	0.00E+00	0.86
chr11	125592597	125592747	+	87.7	0	148	5.83E+01	0.00E+00	0.75
chr1	236795100	236795250	+	86.8	0	169.5	4.51E+01	0.00E+00	0.66
chr3	179562774	179562924	+	85.6	0	165.5	3.81E+01	0.00E+00	0.67
chr7	134646643	134646793	+	85	0	160	7.05E+01	0.00E+00	0.69
chr14	77616845	77616995	+	84.1	0	163.5	4.36E+01	0.00E+00	0.68
chr10	122374459	122374609	+	80.9	0	155	3.71E+01	0.00E+00	0.69
chr8	731230	731380	+	80.8	0	151.5	6.25E+01	0.00E+00	0.71
chr10	112140214	112140364	+	77.6	0	143.5	4.57E+01	0.00E+00	0.73
